"n","distribution","estimand","method","coverage_rate","mean_width","sd_width","left_tail_coverage","right_tail_coverage","n_successful","se_coverage"
100,"chisq","mean","bca",0.946,1.74897598590309,0.168696202421319,0.9759,0.9701,10000,0.00226017698422048
100,"chisq","mean","t_interval",0.9488,1.7662804228017,0.158450968795752,0.9836,0.9652,10000,0.00220405444578849
200,"chisq","mean","percentile",0.9428,1.2277978727806,0.0863358712900271,0.977,0.9658,10000,0.00232224374259034
200,"chisq","mean","basic",0.9426,1.2277978727806,0.0863358712900271,0.98,0.9626,10000,0.00232605330979322
200,"chisq","mean","normal",0.9441,1.23320633989196,0.0831355637875691,0.9796,0.9645,10000,0.00229728513685176
200,"chisq","mean","bca",0.9441,1.2405507332426,0.0881861262266604,0.9737,0.9704,10000,0.00229728513685176
200,"chisq","mean","t_interval",0.9458,1.24414759181664,0.0788723324717068,0.9806,0.9652,10000,0.00226411925480969
20,"chisq","sd","percentile",0.7372,2.71960657704184,1.0571902029008,0.7446,0.9926,10000,0.00440154700077143
20,"chisq","sd","basic",0.4691,2.71960657704184,1.0571902029008,0.4717,0.9974,10000,0.00499044276592769
20,"chisq","sd","normal",0.6304,2.79949613744396,1.19235385738462,0.6344,0.996,10000,0.00482696426338543
20,"chisq","sd","bca",0.472868217054264,2.55119244184297,0.881894138706637,0.476326774001193,0.996541443053071,10000,0.00499263323662159
20,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"chisq","sd","percentile",0.5564,2.35259239434666,0.826975676975266,0.558,0.9984,10000,0.00496808856603825
30,"chisq","sd","basic",0.3622,2.35259239434666,0.826975676975266,0.3631,0.9991,10000,0.00480636203380478
30,"chisq","sd","normal",0.4727,2.4032622484997,0.90934351983934,0.474,0.9987,10000,0.00499254153713317
30,"chisq","sd","bca",0.315042678195322,2.31799794968315,0.747203312822507,0.316040350293759,0.999002327901563,10000,0.00464532871937865
30,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"chisq","sd","percentile",0.3969,2.09024394506115,0.675937652151576,0.3975,0.9994,10000,0.00489254933546919
40,"chisq","sd","basic",0.263,2.09024394506115,0.675937652151576,0.2635,0.9995,10000,0.00440262421744123
40,"chisq","sd","normal",0.3376,2.12705082254687,0.726777078292399,0.3381,0.9995,10000,0.00472891361731212
40,"chisq","sd","bca",0.202777777777778,2.12267050533988,0.677318285663221,0.203205128205128,0.99957264957265,10000,0.00402068340729886
40,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"chisq","sd","percentile",0.2724,1.92421018064962,0.588242164718016,0.2724,1,10000,0.00445194609131782
50,"chisq","sd","basic",0.1899,1.92421018064962,0.588242164718016,0.1899,1,10000,0.00392221863235593
50,"chisq","sd","normal",0.2373,1.95396613266393,0.624764187530887,0.2373,1,10000,0.00425427678930274
50,"chisq","sd","bca",0.133256205300799,1.97912617278334,0.613983621953285,0.133256205300799,1,10000,0.00339851422020904
50,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"chisq","sd","percentile",0.0344,1.4344197986183,0.359232452712226,0.0344,1,10000,0.0018225432779498
100,"chisq","sd","basic",0.0282,1.4344197986183,0.359232452712226,0.0282,1,10000,0.00165543831053893
100,"chisq","sd","normal",0.0326,1.44857768294078,0.373726986709476,0.0326,1,10000,0.00177587274318854
100,"chisq","sd","bca",0.0127375657096644,1.50607162107016,0.409900366323191,0.0127375657096644,1,10000,0.00112139734837641
100,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"chisq","sd","percentile",2e-04,1.05407710815556,0.212631614535346,2e-04,1,10000,0.000141407213394508
200,"chisq","sd","basic",3e-04,1.05407710815556,0.212631614535346,3e-04,1,10000,0.000173179098045925
200,"chisq","sd","normal",3e-04,1.06157392914307,0.217601284816792,3e-04,1,10000,0.000173179098045925
200,"chisq","sd","bca",0,1.10258184233897,0.25472471236443,0,1,10000,0
200,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"exponential","mean","percentile",0.905,4.04825756840938,1.20392541878153,0.982,0.923,10000,0.00293214938227915
20,"exponential","mean","basic",0.8852,4.04825756840938,1.20392541878153,0.9902,0.895,10000,0.00318780425998837
20,"exponential","mean","normal",0.8994,4.09595938151659,1.22779070000294,0.988,0.9114,10000,0.00300798337761365
20,"exponential","mean","bca",0.918710581639804,4.34579413610104,1.46194854510913,0.972469716688357,0.946240864951447,10000,0.00273279067663181
20,"exponential","mean","t_interval",0.922,4.48982496967021,1.33933711960191,0.9935,0.9285,10000,0.00268171586861845
30,"exponential","mean","percentile",0.9145,3.38128457526378,0.843575610145393,0.9825,0.932,10000,0.0027962430151902
30,"exponential","mean","basic",0.9023,3.38128457526378,0.843575610145393,0.9908,0.9115,10000,0.00296908588626197
30,"exponential","mean","normal",0.9133,3.41152157313426,0.85463839232913,0.9886,0.9247,10000,0.0028139493598855
30,"exponential","mean","bca",0.921368547418968,3.58015177506237,0.992408287508777,0.970588235294118,0.95078031212485,10000,0.00269162678033247
30,"exponential","mean","t_interval",0.9262,3.61997187215375,0.90286504161034,0.9922,0.934,10000,0.00261445137648418
40,"exponential","mean","percentile",0.9197,2.97626768026337,0.645800941821545,0.9809,0.9388,10000,0.00271757079024632
40,"exponential","mean","basic",0.9084,2.97626768026337,0.645800941821545,0.9878,0.9206,10000,0.00288460465228773
40,"exponential","mean","normal",0.9176,2.99765247265555,0.651605003229964,0.9859,0.9317,10000,0.00274973162326799
40,"exponential","mean","bca",0.928285657131426,3.12299957775434,0.744589386912145,0.970194038807762,0.958091618323665,10000,0.00258014332732704
40,"exponential","mean","t_interval",0.9276,3.13286251980825,0.677390945410674,0.9886,0.939,10000,0.00259149069070294
50,"exponential","mean","percentile",0.9316,2.67587436657345,0.518942400455189,0.9844,0.9472,10000,0.00252431059895568
50,"exponential","mean","basic",0.9196,2.67587436657345,0.518942400455189,0.9905,0.9291,10000,0.00271911456176455
50,"exponential","mean","normal",0.9276,2.69470531255686,0.522452007314559,0.9882,0.9394,10000,0.00259149069070294
50,"exponential","mean","bca",0.939193919391939,2.79173046949161,0.591617662271014,0.974897489748975,0.964296429642964,10000,0.0023897426884321
50,"exponential","mean","t_interval",0.9377,2.79097187880967,0.536963381859579,0.9915,0.9462,10000,0.0024169962763728
100,"exponential","mean","percentile",0.9369,1.92379999904257,0.274216655295482,0.9812,0.9557,10000,0.00243142735856945
100,"exponential","mean","basic",0.9308,1.92379999904257,0.274216655295482,0.988,0.9428,10000,0.00253793932157568
100,"exponential","mean","normal",0.9376,1.93502270164763,0.274046411082403,0.9861,0.9515,10000,0.00241880631717382
